



 INFO:  tree pruning end, 12 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 12 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 12 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 12 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 12 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 12 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 12 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 12 extra nodes, 0 pruned nodes,   max_depth=3
 INFO:  tree pruning end, 14 extra nodes, 0 pruned nodes,   max_depth=3
